starting
Job is running on node c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
/home/users/ksf293/aemulator/code
Running in /home/users/ksf293/aemulator/code/..
Running in /home/users/ksf293/aemulator
Fname /home/users/ksf293/aemulator/chains/param_files/chain_params_wp_uchuu_all_Msatmocks_covglam4.h5
Condition number: 1565.9735714174465
Building emulators
_aemulus_Msatmocks_train
original number of training ID pairs: 4000
Deleted bad ID pairs with indices [1296, 1335]
N train: 3998
Emulator for wp built with train_tag _George_log_errstdev_Msatmocks
Dynesty sampling (static) - nongen
nlive: 972
sample_method: rwalk
walks: 25
bound: multi
seed: 667
vol_dec: 0.5 vol_check: 2.0
slices: 5
dlogz:  0.01
n_threads: 24

iter: 12 | bound: 0 | nc: 1 | ncall: 984 | eff(%):  1.220 | loglstar:   -inf < -865.424 <    inf | logz: -873.008 +/-  0.125 | dlogz: 873.244 >  0.010                                                
iter: 13 | bound: 0 | nc: 1 | ncall: 985 | eff(%):  1.320 | loglstar:   -inf < -837.019 <    inf | logz: -844.605 +/-  0.125 | dlogz: 865.890 >  0.010                                                
iter: 14 | bound: 0 | nc: 1 | ncall: 986 | eff(%):  1.420 | loglstar:   -inf < -832.701 <    inf | logz: -840.262 +/-  0.124 | dlogz: 837.487 >  0.010                                                
iter: 15 | bound: 0 | nc: 1 | ncall: 987 | eff(%):  1.520 | loglstar:   -inf < -825.732 <    inf | logz: -833.318 +/-  0.125 | dlogz: 833.142 >  0.010                                                
iter: 16 | bound: 0 | nc: 1 | ncall: 988 | eff(%):  1.619 | loglstar:   -inf < -816.071 <    inf | logz: -823.660 +/-  0.125 | dlogz: 826.197 >  0.010                                                
iter: 17 | bound: 0 | nc: 1 | ncall: 989 | eff(%):  1.719 | loglstar:   -inf < -798.037 <    inf | logz: -805.627 +/-  0.125 | dlogz: 816.538 >  0.010                                                
iter: 18 | bound: 0 | nc: 1 | ncall: 990 | eff(%):  1.818 | loglstar:   -inf < -780.559 <    inf | logz: -788.150 +/-  0.125 | dlogz: 798.504 >  0.010                                                
iter: 19 | bound: 0 | nc: 1 | ncall: 991 | eff(%):  1.917 | loglstar:   -inf < -763.695 <    inf | logz: -771.287 +/-  0.125 | dlogz: 781.027 >  0.010                                                
iter: 20 | bound: 0 | nc: 1 | ncall: 992 | eff(%):  2.016 | loglstar:   -inf < -763.609 <    inf | logz: -770.160 +/-  0.116 | dlogz: 764.163 >  0.010                                                
iter: 21 | bound: 0 | nc: 1 | ncall: 993 | eff(%):  2.115 | loglstar:   -inf < -755.947 <    inf | logz: -763.540 +/-  0.125 | dlogz: 763.034 >  0.010                                                
iter: 22 | bound: 0 | nc: 1 | ncall: 994 | eff(%):  2.213 | loglstar:   -inf < -755.420 <    inf | logz: -762.235 +/-  0.116 | dlogz: 756.413 >  0.010                                                
iter: 23 | bound: 0 | nc: 1 | ncall: 995 | eff(%):  2.312 | loglstar:   -inf < -750.651 <    inf | logz: -758.220 +/-  0.124 | dlogz: 755.107 >  0.010                                                
iter: 24 | bound: 0 | nc: 1 | ncall: 996 | eff(%):  2.410 | loglstar:   -inf < -738.646 <    inf | logz: -746.243 +/-  0.125 | dlogz: 751.092 >  0.010                                                
iter: 25 | bound: 0 | nc: 1 | ncall: 997 | eff(%):  2.508 | loglstar:   -inf < -736.197 <    inf | logz: -743.636 +/-  0.121 | dlogz: 739.113 >  0.010                                                
iter: 26 | bound: 0 | nc: 1 | ncall: 998 | eff(%):  2.605 | loglstar:   -inf < -725.410 <    inf | logz: -733.009 +/-  0.125 | dlogz: 736.505 >  0.010                                                
iter: 27 | bound: 0 | nc: 1 | ncall: 999 | eff(%):  2.703 | loglstar:   -inf < -723.856 <    inf | logz: -731.104 +/-  0.118 | dlogz: 725.877 >  0.010                                                
iter: 28 | bound: 0 | nc: 1 | ncall: 1000 | eff(%):  2.800 | loglstar:   -inf < -720.095 <    inf | logz: -727.641 +/-  0.123 | dlogz: 723.971 >  0.010                                               
iter: 29 | bound: 0 | nc: 1 | ncall: 1001 | eff(%):  2.897 | loglstar:   -inf < -710.809 <    inf | logz: -718.412 +/-  0.125 | dlogz: 720.507 >  0.010                                               
iter: 30 | bound: 0 | nc: 1 | ncall: 1002 | eff(%):  2.994 | loglstar:   -inf < -707.817 <    inf | logz: -715.325 +/-  0.122 | dlogz: 711.277 >  0.010                                               
iter: 31 | bound: 0 | nc: 1 | ncall: 1003 | eff(%):  3.091 | loglstar:   -inf < -705.893 <    inf | logz: -713.229 +/-  0.119 | dlogz: 708.189 >  0.010                                               
iter: 32 | bound: 0 | nc: 1 | ncall: 1004 | eff(%):  3.187 | loglstar:   -inf < -704.814 <    inf | logz: -711.840 +/-  0.115 | dlogz: 706.092 >  0.010                                               
iter: 33 | bound: 0 | nc: 1 | ncall: 1005 | eff(%):  3.284 | loglstar:   -inf < -700.393 <    inf | logz: -707.966 +/-  0.124 | dlogz: 704.702 >  0.010                                               
iter: 34 | bound: 0 | nc: 1 | ncall: 1006 | eff(%):  3.380 | loglstar:   -inf < -698.563 <    inf | logz: -705.888 +/-  0.119 | dlogz: 700.827 >  0.010                                               
iter: 35 | bound: 0 | nc: 1 | ncall: 1007 | eff(%):  3.476 | loglstar:   -inf < -692.130 <    inf | logz: -699.734 +/-  0.125 | dlogz: 698.748 >  0.010                                               
iter: 36 | bound: 0 | nc: 1 | ncall: 1008 | eff(%):  3.571 | loglstar:   -inf < -684.090 <    inf | logz: -691.699 +/-  0.125 | dlogz: 692.593 >  0.010                                               
iter: 37 | bound: 0 | nc: 1 | ncall: 1009 | eff(%):  3.667 | loglstar:   -inf < -681.331 <    inf | logz: -688.822 +/-  0.122 | dlogz: 684.556 >  0.010                                               
iter: 38 | bound: 0 | nc: 1 | ncall: 1010 | eff(%):  3.762 | loglstar:   -inf < -675.286 <    inf | logz: -682.892 +/-  0.125 | dlogz: 681.679 >  0.010                                               
iter: 39 | bound: 0 | nc: 1 | ncall: 1011 | eff(%):  3.858 | loglstar:   -inf < -673.941 <    inf | logz: -681.133 +/-  0.118 | dlogz: 675.748 >  0.010                                               
iter: 40 | bound: 0 | nc: 1 | ncall: 1012 | eff(%):  3.953 | loglstar:   -inf < -664.610 <    inf | logz: -672.223 +/-  0.125 | dlogz: 673.988 >  0.010                                               
iter: 41 | bound: 0 | nc: 1 | ncall: 1013 | eff(%):  4.047 | loglstar:   -inf < -663.528 <    inf | logz: -670.625 +/-  0.117 | dlogz: 665.077 >  0.010                                               
iter: 42 | bound: 0 | nc: 1 | ncall: 1014 | eff(%):  4.142 | loglstar:   -inf < -663.014 <    inf | logz: -669.673 +/-  0.113 | dlogz: 663.478 >  0.010                                               
iter: 43 | bound: 0 | nc: 1 | ncall: 1015 | eff(%):  4.236 | loglstar:   -inf < -653.956 <    inf | logz: -661.573 +/-  0.125 | dlogz: 662.525 >  0.010                                               
iter: 44 | bound: 0 | nc: 1 | ncall: 1016 | eff(%):  4.331 | loglstar:   -inf < -652.416 <    inf | logz: -659.677 +/-  0.118 | dlogz: 654.423 >  0.010                                               
iter: 45 | bound: 0 | nc: 1 | ncall: 1017 | eff(%):  4.425 | loglstar:   -inf < -648.412 <    inf | logz: -655.988 +/-  0.123 | dlogz: 652.527 >  0.010                                               
iter: 46 | bound: 0 | nc: 1 | ncall: 1018 | eff(%):  4.519 | loglstar:   -inf < -643.340 <    inf | logz: -650.947 +/-  0.125 | dlogz: 648.836 >  0.010                                               
iter: 47 | bound: 0 | nc: 1 | ncall: 1019 | eff(%):  4.612 | loglstar:   -inf < -639.212 <    inf | logz: -646.800 +/-  0.124 | dlogz: 643.795 >  0.010                                               
iter: 48 | bound: 0 | nc: 1 | ncall: 1020 | eff(%):  4.706 | loglstar:   -inf < -639.058 <    inf | logz: -645.670 +/-  0.115 | dlogz: 639.647 >  0.010                                               
iter: 49 | bound: 0 | nc: 1 | ncall: 1021 | eff(%):  4.799 | loglstar:   -inf < -637.780 <    inf | logz: -644.688 +/-  0.113 | dlogz: 638.516 >  0.010                                               
iter: 50 | bound: 0 | nc: 1 | ncall: 1022 | eff(%):  4.892 | loglstar:   -inf < -631.657 <    inf | logz: -639.275 +/-  0.125 | dlogz: 637.533 >  0.010                                               
iter: 51 | bound: 0 | nc: 1 | ncall: 1023 | eff(%):  4.985 | loglstar:   -inf < -628.923 <    inf | logz: -636.426 +/-  0.122 | dlogz: 632.118 >  0.010                                               
