starting
Job is running on node c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
/home/users/ksf293/aemulator/code
Running in /home/users/ksf293/aemulator/code/..
Running in /home/users/ksf293/aemulator
Fname /home/users/ksf293/aemulator/chains/param_files/chain_params_xi2_uchuu_all_Msatmocks_covglam4.h5
Condition number: 87325.44877121199
Building emulators
_aemulus_Msatmocks_train
original number of training ID pairs: 4000
Deleted bad ID pairs with indices [1296, 1335]
N train: 3998
Emulator for xi2 built with train_tag _George_xrsqmean_errstdev_Msatmocks
Dynesty sampling (static) - nongen
nlive: 972
sample_method: rwalk
walks: 25
bound: multi
seed: 757
vol_dec: 0.5 vol_check: 2.0
slices: 5
dlogz:  0.01
n_threads: 24

iter: 17 | bound: 0 | nc: 1 | ncall: 989 | eff(%):  1.719 | loglstar:   -inf < -36.748 <    inf | logz: -44.313 +/-  0.124 | dlogz: 48.188 >  0.010                                                   
iter: 18 | bound: 0 | nc: 1 | ncall: 990 | eff(%):  1.818 | loglstar:   -inf < -34.896 <    inf | logz: -42.211 +/-  0.119 | dlogz: 44.270 >  0.010                                                   
iter: 19 | bound: 0 | nc: 1 | ncall: 991 | eff(%):  1.917 | loglstar:   -inf < -34.113 <    inf | logz: -40.982 +/-  0.114 | dlogz: 42.166 >  0.010                                                   
iter: 20 | bound: 0 | nc: 1 | ncall: 992 | eff(%):  2.016 | loglstar:   -inf < -32.758 <    inf | logz: -39.768 +/-  0.113 | dlogz: 40.936 >  0.010                                                   
iter: 21 | bound: 0 | nc: 1 | ncall: 993 | eff(%):  2.115 | loglstar:   -inf < -31.987 <    inf | logz: -38.752 +/-  0.112 | dlogz: 39.722 >  0.010                                                   
iter: 22 | bound: 0 | nc: 1 | ncall: 994 | eff(%):  2.213 | loglstar:   -inf < -31.408 <    inf | logz: -37.957 +/-  0.110 | dlogz: 38.704 >  0.010                                                   
iter: 23 | bound: 0 | nc: 1 | ncall: 995 | eff(%):  2.312 | loglstar:   -inf < -31.157 <    inf | logz: -37.368 +/-  0.108 | dlogz: 37.908 >  0.010                                                   
iter: 24 | bound: 0 | nc: 1 | ncall: 996 | eff(%):  2.410 | loglstar:   -inf < -30.728 <    inf | logz: -36.877 +/-  0.106 | dlogz: 37.318 >  0.010                                                   
iter: 25 | bound: 0 | nc: 1 | ncall: 997 | eff(%):  2.508 | loglstar:   -inf < -29.688 <    inf | logz: -36.236 +/-  0.106 | dlogz: 36.826 >  0.010                                                   
iter: 26 | bound: 0 | nc: 1 | ncall: 998 | eff(%):  2.605 | loglstar:   -inf < -29.420 <    inf | logz: -35.644 +/-  0.106 | dlogz: 36.184 >  0.010                                                   
iter: 27 | bound: 0 | nc: 1 | ncall: 999 | eff(%):  2.703 | loglstar:   -inf < -29.313 <    inf | logz: -35.217 +/-  0.105 | dlogz: 35.592 >  0.010                                                   
iter: 28 | bound: 0 | nc: 1 | ncall: 1000 | eff(%):  2.800 | loglstar:   -inf < -28.244 <    inf | logz: -34.676 +/-  0.105 | dlogz: 35.163 >  0.010                                                  
iter: 29 | bound: 0 | nc: 1 | ncall: 1001 | eff(%):  2.897 | loglstar:   -inf < -26.932 <    inf | logz: -33.775 +/-  0.108 | dlogz: 34.621 >  0.010                                                  
iter: 30 | bound: 0 | nc: 1 | ncall: 1002 | eff(%):  2.994 | loglstar:   -inf < -26.658 <    inf | logz: -33.042 +/-  0.108 | dlogz: 33.719 >  0.010                                                  
iter: 31 | bound: 0 | nc: 1 | ncall: 1003 | eff(%):  3.091 | loglstar:   -inf < -26.134 <    inf | logz: -32.457 +/-  0.107 | dlogz: 32.985 >  0.010                                                  
iter: 32 | bound: 0 | nc: 1 | ncall: 1004 | eff(%):  3.187 | loglstar:   -inf < -23.083 <    inf | logz: -30.492 +/-  0.118 | dlogz: 32.400 >  0.010                                                  
iter: 33 | bound: 0 | nc: 1 | ncall: 1005 | eff(%):  3.284 | loglstar:   -inf < -23.022 <    inf | logz: -29.501 +/-  0.113 | dlogz: 30.433 >  0.010                                                  
iter: 34 | bound: 0 | nc: 1 | ncall: 1006 | eff(%):  3.380 | loglstar:   -inf < -22.912 <    inf | logz: -28.980 +/-  0.109 | dlogz: 29.441 >  0.010                                                  
iter: 35 | bound: 0 | nc: 1 | ncall: 1007 | eff(%):  3.476 | loglstar:   -inf < -22.864 <    inf | logz: -28.616 +/-  0.107 | dlogz: 28.919 >  0.010                                                  
iter: 36 | bound: 0 | nc: 1 | ncall: 1008 | eff(%):  3.571 | loglstar:   -inf < -22.744 <    inf | logz: -28.329 +/-  0.105 | dlogz: 28.554 >  0.010                                                  
