starting
Job is running on node c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
/home/users/ksf293/aemulator/code
Running in /home/users/ksf293/aemulator/code/..
Running in /home/users/ksf293/aemulator
Fname /home/users/ksf293/aemulator/chains/param_files/chain_params_upf_uchuu_all_Msatmocks_covglam4.h5
Condition number: 141580.5220998982
Building emulators
_aemulus_Msatmocks_train
original number of training ID pairs: 4000
Deleted bad ID pairs with indices [1296, 1335]
N train: 3998
Emulator for upf built with train_tag _George_log_errstdev_Msatmocks
Dynesty sampling (static) - nongen
nlive: 972
sample_method: rwalk
walks: 25
bound: multi
seed: 576
vol_dec: 0.5 vol_check: 2.0
slices: 5
dlogz:  0.01
n_threads: 24

iter: 12 | bound: 0 | nc: 1 | ncall: 984 | eff(%):  1.220 | loglstar:   -inf < -5970.343 <    inf | logz: -5977.928 +/-  0.125 | dlogz: 6523.682 >  0.010                                             
iter: 13 | bound: 0 | nc: 1 | ncall: 985 | eff(%):  1.320 | loglstar:   -inf < -5811.630 <    inf | logz: -5819.216 +/-  0.125 | dlogz: 5977.318 >  0.010                                             
iter: 14 | bound: 0 | nc: 1 | ncall: 986 | eff(%):  1.420 | loglstar:   -inf < -5678.715 <    inf | logz: -5686.302 +/-  0.125 | dlogz: 5818.605 >  0.010                                             
iter: 15 | bound: 0 | nc: 1 | ncall: 987 | eff(%):  1.520 | loglstar:   -inf < -4704.936 <    inf | logz: -4712.524 +/-  0.125 | dlogz: 5685.690 >  0.010                                             
iter: 16 | bound: 0 | nc: 1 | ncall: 988 | eff(%):  1.619 | loglstar:   -inf < -4306.900 <    inf | logz: -4314.489 +/-  0.125 | dlogz: 4711.911 >  0.010                                             
iter: 17 | bound: 0 | nc: 1 | ncall: 989 | eff(%):  1.719 | loglstar:   -inf < -4286.505 <    inf | logz: -4294.095 +/-  0.125 | dlogz: 4313.875 >  0.010                                             
iter: 18 | bound: 0 | nc: 1 | ncall: 990 | eff(%):  1.818 | loglstar:   -inf < -3942.274 <    inf | logz: -3949.865 +/-  0.125 | dlogz: 4293.480 >  0.010                                             
iter: 19 | bound: 0 | nc: 1 | ncall: 991 | eff(%):  1.917 | loglstar:   -inf < -3924.269 <    inf | logz: -3931.861 +/-  0.125 | dlogz: 3949.249 >  0.010                                             
iter: 20 | bound: 0 | nc: 1 | ncall: 992 | eff(%):  2.016 | loglstar:   -inf < -3855.413 <    inf | logz: -3863.006 +/-  0.125 | dlogz: 3931.244 >  0.010                                             
iter: 21 | bound: 0 | nc: 1 | ncall: 993 | eff(%):  2.115 | loglstar:   -inf < -3802.476 <    inf | logz: -3810.070 +/-  0.125 | dlogz: 3862.388 >  0.010                                             
iter: 22 | bound: 0 | nc: 1 | ncall: 994 | eff(%):  2.213 | loglstar:   -inf < -3776.153 <    inf | logz: -3783.748 +/-  0.125 | dlogz: 3809.451 >  0.010                                             
iter: 23 | bound: 0 | nc: 1 | ncall: 995 | eff(%):  2.312 | loglstar:   -inf < -3577.699 <    inf | logz: -3585.295 +/-  0.125 | dlogz: 3783.128 >  0.010                                             
iter: 24 | bound: 0 | nc: 1 | ncall: 996 | eff(%):  2.410 | loglstar:   -inf < -3490.465 <    inf | logz: -3498.062 +/-  0.125 | dlogz: 3584.673 >  0.010                                             
iter: 25 | bound: 0 | nc: 1 | ncall: 997 | eff(%):  2.508 | loglstar:   -inf < -3438.472 <    inf | logz: -3446.070 +/-  0.125 | dlogz: 3497.439 >  0.010                                             
iter: 26 | bound: 0 | nc: 1 | ncall: 998 | eff(%):  2.605 | loglstar:   -inf < -3379.768 <    inf | logz: -3387.367 +/-  0.125 | dlogz: 3445.447 >  0.010                                             
iter: 27 | bound: 0 | nc: 2 | ncall: 1000 | eff(%):  2.700 | loglstar:   -inf < -3137.104 <    inf | logz: -3144.704 +/-  0.125 | dlogz: 3386.743 >  0.010                                            
iter: 28 | bound: 0 | nc: 1 | ncall: 1001 | eff(%):  2.797 | loglstar:   -inf < -2971.884 <    inf | logz: -2979.485 +/-  0.125 | dlogz: 3144.079 >  0.010                                            
iter: 29 | bound: 0 | nc: 1 | ncall: 1002 | eff(%):  2.894 | loglstar:   -inf < -2971.429 <    inf | logz: -2978.212 +/-  0.116 | dlogz: 2978.859 >  0.010                                            
iter: 30 | bound: 0 | nc: 1 | ncall: 1003 | eff(%):  2.991 | loglstar:   -inf < -2940.502 <    inf | logz: -2948.105 +/-  0.125 | dlogz: 2977.584 >  0.010                                            
iter: 31 | bound: 0 | nc: 1 | ncall: 1004 | eff(%):  3.088 | loglstar:   -inf < -2794.059 <    inf | logz: -2801.663 +/-  0.125 | dlogz: 2947.477 >  0.010                                            
iter: 32 | bound: 0 | nc: 1 | ncall: 1005 | eff(%):  3.184 | loglstar:   -inf < -2777.640 <    inf | logz: -2785.245 +/-  0.125 | dlogz: 2801.034 >  0.010                                            
iter: 33 | bound: 0 | nc: 1 | ncall: 1006 | eff(%):  3.280 | loglstar:   -inf < -2748.274 <    inf | logz: -2755.881 +/-  0.125 | dlogz: 2784.615 >  0.010                                            
iter: 34 | bound: 0 | nc: 1 | ncall: 1007 | eff(%):  3.376 | loglstar:   -inf < -2746.061 <    inf | logz: -2753.470 +/-  0.120 | dlogz: 2755.249 >  0.010                                            
iter: 35 | bound: 0 | nc: 1 | ncall: 1008 | eff(%):  3.472 | loglstar:   -inf < -2690.780 <    inf | logz: -2698.389 +/-  0.125 | dlogz: 2752.838 >  0.010                                            
iter: 36 | bound: 0 | nc: 2 | ncall: 1010 | eff(%):  3.564 | loglstar:   -inf < -2521.786 <    inf | logz: -2529.395 +/-  0.125 | dlogz: 2697.755 >  0.010                                            
iter: 37 | bound: 0 | nc: 1 | ncall: 1011 | eff(%):  3.660 | loglstar:   -inf < -2430.696 <    inf | logz: -2438.307 +/-  0.125 | dlogz: 2528.761 >  0.010                                            
iter: 38 | bound: 0 | nc: 1 | ncall: 1012 | eff(%):  3.755 | loglstar:   -inf < -2376.063 <    inf | logz: -2383.674 +/-  0.125 | dlogz: 2437.671 >  0.010                                            
iter: 39 | bound: 0 | nc: 1 | ncall: 1013 | eff(%):  3.850 | loglstar:   -inf < -2359.108 <    inf | logz: -2366.721 +/-  0.125 | dlogz: 2383.038 >  0.010                                            
iter: 40 | bound: 0 | nc: 1 | ncall: 1014 | eff(%):  3.945 | loglstar:   -inf < -2267.759 <    inf | logz: -2275.373 +/-  0.125 | dlogz: 2366.083 >  0.010                                            
iter: 41 | bound: 0 | nc: 1 | ncall: 1015 | eff(%):  4.039 | loglstar:   -inf < -2248.379 <    inf | logz: -2255.994 +/-  0.125 | dlogz: 2274.734 >  0.010                                            
iter: 42 | bound: 0 | nc: 1 | ncall: 1016 | eff(%):  4.134 | loglstar:   -inf < -2211.316 <    inf | logz: -2218.932 +/-  0.125 | dlogz: 2255.354 >  0.010                                            
iter: 43 | bound: 0 | nc: 1 | ncall: 1017 | eff(%):  4.228 | loglstar:   -inf < -2100.457 <    inf | logz: -2108.074 +/-  0.125 | dlogz: 2218.291 >  0.010                                            
iter: 44 | bound: 0 | nc: 1 | ncall: 1018 | eff(%):  4.322 | loglstar:   -inf < -1987.722 <    inf | logz: -1995.340 +/-  0.125 | dlogz: 2107.432 >  0.010                                            
iter: 45 | bound: 0 | nc: 1 | ncall: 1019 | eff(%):  4.416 | loglstar:   -inf < -1844.191 <    inf | logz: -1851.810 +/-  0.125 | dlogz: 1994.697 >  0.010                                            
iter: 46 | bound: 0 | nc: 1 | ncall: 1020 | eff(%):  4.510 | loglstar:   -inf < -1818.112 <    inf | logz: -1825.732 +/-  0.125 | dlogz: 1851.166 >  0.010                                            
iter: 47 | bound: 0 | nc: 1 | ncall: 1021 | eff(%):  4.603 | loglstar:   -inf < -1766.326 <    inf | logz: -1773.947 +/-  0.125 | dlogz: 1825.087 >  0.010                                            
iter: 48 | bound: 0 | nc: 1 | ncall: 1022 | eff(%):  4.697 | loglstar:   -inf < -1738.903 <    inf | logz: -1746.525 +/-  0.125 | dlogz: 1773.301 >  0.010                                            
iter: 49 | bound: 0 | nc: 1 | ncall: 1023 | eff(%):  4.790 | loglstar:   -inf < -1663.921 <    inf | logz: -1671.543 +/-  0.125 | dlogz: 1745.878 >  0.010                                            
