starting
Job is running on node c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
/home/users/ksf293/aemulator/code
Running in /home/users/ksf293/aemulator/code/..
Running in /home/users/ksf293/aemulator
Fname /home/users/ksf293/aemulator/chains/param_files/chain_params_mcf_uchuu_all_Msatmocks_covglam4.h5
Condition number: 923.7538480211496
Building emulators
_aemulus_Msatmocks_train
original number of training ID pairs: 4000
Deleted bad ID pairs with indices [1296, 1335]
N train: 3998
Emulator for mcf built with train_tag _George_log_errstdev_Msatmocks
Dynesty sampling (static) - nongen
nlive: 972
sample_method: rwalk
walks: 25
bound: multi
seed: 652
vol_dec: 0.5 vol_check: 2.0
slices: 5
dlogz:  0.01
n_threads: 24

iter: 24 | bound: 0 | nc: 1 | ncall: 998 | eff(%):  2.405 | loglstar:   -inf < -60.937 <    inf | logz: -68.353 +/-  0.119 | dlogz: 69.165 >  0.010                                                   
iter: 25 | bound: 0 | nc: 1 | ncall: 999 | eff(%):  2.503 | loglstar:   -inf < -59.309 <    inf | logz: -66.548 +/-  0.117 | dlogz: 67.030 >  0.010                                                   
iter: 26 | bound: 0 | nc: 1 | ncall: 1000 | eff(%):  2.600 | loglstar:   -inf < -59.104 <    inf | logz: -65.611 +/-  0.112 | dlogz: 65.224 >  0.010                                                  
iter: 27 | bound: 0 | nc: 1 | ncall: 1001 | eff(%):  2.697 | loglstar:   -inf < -58.703 <    inf | logz: -65.004 +/-  0.109 | dlogz: 64.286 >  0.010                                                  
iter: 28 | bound: 0 | nc: 1 | ncall: 1002 | eff(%):  2.794 | loglstar:   -inf < -57.614 <    inf | logz: -64.271 +/-  0.109 | dlogz: 63.678 >  0.010                                                  
iter: 29 | bound: 0 | nc: 1 | ncall: 1003 | eff(%):  2.891 | loglstar:   -inf < -57.250 <    inf | logz: -63.604 +/-  0.108 | dlogz: 62.944 >  0.010                                                  
iter: 30 | bound: 0 | nc: 1 | ncall: 1004 | eff(%):  2.988 | loglstar:   -inf < -56.513 <    inf | logz: -62.970 +/-  0.107 | dlogz: 62.276 >  0.010                                                  
iter: 31 | bound: 0 | nc: 1 | ncall: 1005 | eff(%):  3.085 | loglstar:   -inf < -56.071 <    inf | logz: -62.376 +/-  0.106 | dlogz: 61.641 >  0.010                                                  
iter: 32 | bound: 0 | nc: 1 | ncall: 1006 | eff(%):  3.181 | loglstar:   -inf < -54.861 <    inf | logz: -61.594 +/-  0.108 | dlogz: 61.046 >  0.010                                                  
iter: 33 | bound: 0 | nc: 2 | ncall: 1008 | eff(%):  3.274 | loglstar:   -inf < -54.032 <    inf | logz: -60.729 +/-  0.109 | dlogz: 60.263 >  0.010                                                  
